ch1 ,ch2
2.31E-08,0.000150027
0.000784802,0.000155807
0.000814802,0.000525616
0.000879341,0.000598051
0.000934806,0.000865624
0.001005628,0.001265634
0.001025628,0.001383151
0.00108563,0.001405437
0.00109563,0.001433006
0.001143459,0.001545441
0.001156452,0.001635443
0.001287373,0.001664506
0.001326456,0.001675444
0.001431864,0.002485265
0.00147626,0.002525265
0.001576262,0.002615267
0.001736266,0.002665269
0.001996358,0.003465088
0.002006273,0.00346593
0.002016273,0.003675094
0.002023291,0.003715095
0.002107095,0.004074904
0.002216898,0.004084904
0.002236899,0.004094904
0.002436904,0.004134905
0.002683995,0.004384912
0.00269691,0.004684719
0.002746911,0.004894724
0.002822477,0.005354735
0.003047539,0.006044552
0.00310754,0.006194556
0.003247545,0.00636436
0.003248024,0.006454362
0.003773337,0.00719914
0.003833138,0.007461794
0.003863139,0.007918958
0.003873139,0.008358969
0.004393972,0.008601768
0.004443973,0.008718778
0.004463975,0.00879878
0.004497965,0.009068787
0.00512379,0.009498804
0.005373796,0.009638601
0.005433598,0.009668601
0.005453599,0.009708602
0.005898931,0.009908607
0.00595653,0.009968609
0.005983612,0.009978609
0.006233618,0.010198614
0.006273419,0.010848431
0.00631342,0.011188239
0.006373422,0.011603744
0.006393009,0.011768253
0.006925267,0.011958258
0.006974256,0.012268066
0.007122292,0.012582472
0.00712406,0.012598074
0.007933127,0.012977884
0.00793388,0.012987884
0.008033883,0.013107887
0.008063883,0.013136762
0.008623897,0.013787703
0.008693899,0.013957708
0.0087437,0.01406771
0.008873704,0.014120551
0.009088668,0.014430746
0.00911208,0.014652484
0.009148669,0.014702485
0.009198671,0.01489249
0.010002844,0.015122496
0.010008491,0.015146411
0.010028491,0.015342301
0.010037144,0.015482305
0.010039312,0.015812313
0.010079313,0.016052319
0.01018039,0.016132121
0.010219316,0.016142121
0.010739129,0.016810073
0.01077913,0.016852138
0.010929134,0.017151946
0.010989135,0.017181947
0.011618951,0.01773176
0.011628951,0.017821763
0.011648952,0.017841763
0.011668952,0.017871764
0.012348769,0.018099872
0.01238877,0.01811177
0.012478772,0.018201772
0.012568775,0.018301774
0.012728779,0.018631583
0.012868582,0.018771586
0.012898583,0.018861589
0.012910379,0.018901589
0.013448597,0.019111594
0.013458597,0.019151596
0.013478597,0.019151698
0.013498598,0.019211597
0.013923367,0.019536364
0.013963368,0.019706368
0.013963934,0.020216182
0.014059941,0.020286183
0.014124193,0.020796195
0.014134193,0.020936199
0.014164194,0.021461732
0.014213292,0.021552016
0.014484823,0.021676017
0.014524823,0.021686018
0.014584825,0.021716018
0.014624825,0.021726018
0.01481483,0.022115828
0.014824831,0.022335833
0.014854831,0.022382099
0.015090193,0.02258061
0.015694652,0.023085652
0.015804655,0.023125653
0.015904657,0.023145654
0.015984659,0.023155654
0.016284468,0.02380547
0.016304467,0.024135478
0.016334467,0.024365284
0.016354468,0.024475286
0.016365289,0.024875296
0.016576863,0.025055301
0.016745299,0.025075302
0.016755298,0.025095102
0.017105107,0.025325107
0.01713584,0.025335108
0.017295111,0.025365109
0.017305112,0.025505112
0.017950044,0.026009884
0.017989889,0.026199889
0.018007325,0.026229889
0.018009888,0.02624989
0.018119891,0.026479895
0.018169892,0.026629899
0.018279895,0.026849705
0.018399898,0.026883806
0.01888971,0.027349717
0.019108297,0.028129536
0.019169717,0.028149537
0.019169864,0.028169537
0.01926054,0.028509346
0.019350542,0.028599348
0.019390343,0.028649349
0.019417687,0.028719351
0.019792308,0.028929448
0.019800353,0.028939638
0.019830354,0.029009358
0.019890356,0.029045683
0.020100361,0.029749176
0.020141747,0.029749906
0.020190163,0.02976419
0.020236443,0.029764619
0.020820179,0.029959182
0.020913148,0.030088985
0.021029984,0.030158987
0.021049984,0.030198988
0.021340345,0.030628998
0.021399993,0.030699
0.021509996,0.030707812
0.021579997,0.030749001
0.02233488,0.031014587
0.022364776,0.031024587
0.022384776,0.031804407
0.022414777,0.03194441
0.023046389,0.032454428
0.02311937,0.032494224
0.023135415,0.032624227
0.023185416,0.032664228
0.023196237,0.033434047
0.023206237,0.03346406
0.023246239,0.033514049
0.02330624,0.033614052
0.024096059,0.033844057
0.024156061,0.033864058
0.024236063,0.033894058
0.024246063,0.033924059
0.024345865,0.034483877
0.02435667,0.034573875
0.024385866,0.034603876
0.024395867,0.034634869
0.024933993,0.035043687
0.024999506,0.035213691
0.025085567,0.035273692
0.025105684,0.035443697
0.025775701,0.035633702
0.02598381,0.035653702
0.025985506,0.035663702
0.026045508,0.035673703
0.026095509,0.036163515
0.026175511,0.036183515
0.026315514,0.036463522
0.026495519,0.036703328
0.026751104,0.037438105
0.026841107,0.037918118
0.026861107,0.037968118
0.026886159,0.038118122
0.027600925,0.038277926
0.027655358,0.038507932
0.027900933,0.038517932
0.027910933,0.038547933
0.027970935,0.038887941
0.028080937,0.039097746
0.028140939,0.039127748
0.028220941,0.039157748
0.028730753,0.039454397
0.028760754,0.039757763
0.028911704,0.039807398
0.028970759,0.039817764
0.029300567,0.040137572
0.029470572,0.040443176
0.029480572,0.040457581
0.029500573,0.040517582
0.029956863,0.040777388
0.030213796,0.040887391
0.030320394,0.0412774
0.030360394,0.041347402
0.030770404,0.041837214
0.030780613,0.041897216
0.030860209,0.041917216
0.03103021,0.042127222
0.031530223,0.042486726
0.031630225,0.042557032
0.031660026,0.042601802
0.031680026,0.042667035
0.031707553,0.043411812
0.031775809,0.043481009
0.031795809,0.043521815
0.031815809,0.043611817
0.032230764,0.043948421
0.032265822,0.044161631
0.032345822,0.044162205
0.032395824,0.044168119
0.032825634,0.044661643
0.032855635,0.044821447
0.032928136,0.044831448
0.03304564,0.045051453
0.033755457,0.045541686
0.033796883,0.045571266
0.03388546,0.045621267
0.033905461,0.04575127
0.034485275,0.046052107
0.034557766,0.046173564
0.034585278,0.046271283
0.034605278,0.046393657
0.035125024,0.046781096
0.035145092,0.047191106
0.035155096,0.047530914
0.035165093,0.047580916
0.035445919,0.047730919
0.035465922,0.04777092
0.03549713,0.047840922
0.035595923,0.048000926
0.035955732,0.048557074
0.036035834,0.048630742
0.036155754,0.048750745
0.036165737,0.048850547
0.036540706,0.049185515
0.036580507,0.049285517
0.03671051,0.049445521
0.036837059,0.049565524
0.03752033,0.049931434
0.037527413,0.050158398
0.037568263,0.050243209
0.037650333,0.050345343
0.038120345,0.050475437
0.038170346,0.050475623
0.038190347,0.050565149
0.038240149,0.050655151
0.038590156,0.05100516
0.038650158,0.051334968
0.038670158,0.05138545
0.03871016,0.051503368
0.039469978,0.051694979
0.03951998,0.05181498
0.039692337,0.051994984
0.039709985,0.052125473
0.040049793,0.052574799
0.040059793,0.0526148
0.040099794,0.052694802
0.040189797,0.052764804
0.040829612,0.053175151
0.040969616,0.053194614
0.041059618,0.053274616
0.041079659,0.053284617
0.041349625,0.053664626
0.041379626,0.054054435
0.041419627,0.054091638
0.041429627,0.054334447
0.041964399,0.054729211
0.0419844,0.054777173
0.042104403,0.054969218
0.042174405,0.055189223
0.042175225,0.05547903
0.04229495,0.055539031
0.042315029,0.055589033
0.042525034,0.055773796
0.043005045,0.056228848
0.043055047,0.056232245
0.043085047,0.056258849
0.043093276,0.05630885
0.043494858,0.056498855
0.043504858,0.056508855
0.043514858,0.056903828
0.043534859,0.057038669
0.04399467,0.057218673
0.044054671,0.057428678
0.044084672,0.057499359
0.044124673,0.057628683
0.044604685,0.058038493
0.04460622,0.058188497
0.044624685,0.058218498
0.044744488,0.0582985
0.045494507,0.058728312
